"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logGSL","logindoles","logaliphatics"
"1","BH","C",5,0,0,30.20579,27.18941,0,1531.9071,0,31.33564,0,14.41383,16.79689,88.85563,26.43199,50.44066,28.72253,1635.05177,117.57816,1752.62993,3.24369022395131,2.07032665956033,3.21353150810908
"2","BH","C",7,0,0,28.57827,15.48263,0,981.41779,0,57.59153,0,8.42368,30.31212,24.25251,0,17.59289,7.68715,1091.4939,31.93966,1123.43356,3.05054739328511,1.50433028873077,3.03802131292309
"3","BH","C",9,14.81113,0,0,359.88889,0,29.24652,31.3145,8.4459,0,0,13.86213,11.20167,0,28.27715,9.8219,443.70694,21.02357,464.73051,2.66720118526063,1.32270646524379,2.64709622154985
"4","BH","C",17,0,0,0,61.40265,0,423.57709,0,0,0,0,20.98177,0,19.16614,158.01237,7.24828,484.97974,7.24828,492.22802,2.69216633221323,0.860234961725346,2.68572359635487
"5","BH","CW",5,24.27959,0,0,522.35645,0,132.97873,34.1317,0,10.07574,0,26.90035,101.96323,0,48.74755,28.0017,713.74647,140.04067,853.78714,2.93134960904242,2.14625417990367,2.85354397335434
"6","BH","CW",7,0,120.30284,60.8937,0,0,168.03502,0,0,0,0,11.46307,198.63205,0,40.09261,19.01385,349.23156,217.6459,566.87746,2.75348918905618,2.33775049035789,2.54311348392961
"7","BH","CW",9,31.43873,0,0,599.22467,0,20.49561,51.01878,45.06938,7.35133,12.11376,13.5891,107.96035,0,44.0093,12.86921,759.36093,128.18089,887.54182,2.94818882569033,2.1078232827009,2.88044824842412
"8","BH","CW",17,30.74951,0,29.59467,61.65189,0,210.37416,20.43958,0,0,12.64296,10.44502,13.85369,0,35.85932,34.28445,365.45277,48.13814,413.59091,2.61657098516272,1.68248930564524,2.56283125802778
"9","CALO","C",1,12.326195,28.023435,101.92437,43.609535,16.75644,480.61177,17.926475,0,0,7.760175,21.71705,191.43329,25.778865,107.80901,30.17731,708.938395,221.6106,930.548995,2.96194560917775,2.29725950940292,2.81863866764027
"10","CALO","C",2,28.52306,0,17.0871,101.9727,0,418.88065,39.12373,0,0,0,15.96889,26.7266,27.40757,83.39035,6.67257,605.58724,33.39917,638.98641,2.80549162165641,1.52373567432956,2.78217671580514
"11","CALO","C",3,21.537255,0,27.206205,87.036295,0,236.35587,40.356775,3.123545,0,17.586765,20.466375,71.69586,0,11.393685,3.47773,433.20271,75.17359,508.3763,2.69498155211771,1.77544285548355,2.63123763728023
"12","CALO","C",4,19.55698,0,0,93.97192,0,162.83417,36.10744,0,0,0,20.51182,226.96419,0,32.29014,7.79443,312.47051,234.75862,547.22913,2.73816920761106,2.37062154790174,2.49480903624454
"13","CALO","C",14,13.894985,0,34.981405,60.92375,0,279.381345,33.86709,11.651865,0,14.72628,26.68867,173.07351,0,20.31751,4.53367,449.42672,177.60718,627.0339,2.7911877952767,2.24931079533874,2.64169510790418
"14","CALO","C",15,17.09461,0,21.62481,63.3452,0,204.5083,16.63164,0,0,0,25.90218,11.18628,0,22.88002,35.42923,323.20456,46.61551,369.82007,2.56799047646548,1.6685304400097,2.50947747948147
"15","CALO","C",16,34.16689,0,0,2272.79224,71.08192,34.27076,15.96179,17.42082,0,9.8217,26.91584,217.52196,24.71034,92.67952,16.54341,2455.51612,234.06537,2689.58149,3.42968470724258,2.36933716452785,3.39014278953831
"16","CALO","C",17,0,0,48.8013,31.55354,21.76881,1649.13538,0,89.9798,0,0,26.66435,130.8242,30.37891,96.11808,13.75374,1841.23883,144.57794,1985.81677,3.29793917394335,2.16010203246652,3.26511012518181
"17","CALO","C",18,12.347985,0,0,183.229445,0,362.23506,25.593355,14.741075,0,7.90096,20.8064,23.617315,6.221545,85.89532,66.773705,606.04788,90.39102,696.4389,2.81016867799595,1.87494484256936,2.71617597838297
"18","CALO","CW",1,22.835735,0,6.646125,141.62982,0,326.628595,9.14544,23.04573,3.58237,0,21.500905,121.436685,0,76.020095,54.39901,529.931445,179.418065,709.34951,2.84206438644399,2.24463374581021,2.6982440774598
"19","CALO","CW",2,25.21057,0,27.8444,39.09104,0,130.90157,11.66581,0,0,0,17.46644,168.97736,0,35.80042,30.5197,234.71339,199.49706,434.21045,2.63770027126654,2.2999364998464,2.37053786606743
"20","CALO","CW",3,22.469185,0,23.44266,74.110545,0,206.5688,23.12547,0,0,3.22892,18.55186,103.101625,0,24.23251,19.82389,352.94558,122.925515,475.871095,2.67720135506977,2.06215385271423,2.54140189978401
"21","CALO","CW",4,34.61031,0,79.32322,55.38614,0,344.41403,33.06126,0,9.38288,20.58773,23.01731,697.00739,0,83.72917,6.06892,567.38269,712.45919,1279.84188,3.10715631739372,2.85275999279928,2.75387608198476
"22","CALO","CW",14,10.1927,0,31.050985,55.24844,0,275.194045,31.123475,6.692335,0,20.41518,21.33859,112.94317,0,18.887685,6.716605,429.91716,119.659775,549.576935,2.73990606463578,2.07544623302985,2.63338471223962
"23","CALO","CW",15,0,0,22.81797,15.76996,0,224.77121,10.44512,0,0,0,17.92488,95.20817,0,21.60954,8.56166,273.80426,103.76983,377.57409,2.57700218436516,2.01607110525554,2.43744020084728
"24","CALO","CW",16,0,0,80.95077,0,0,433.46686,0,53.38821,0,18.3457,48.72227,10.50989,9.34715,43.58305,12.31852,586.15154,22.82841,608.97995,2.78460299419658,1.35847566390927,2.76800991034849
"25","CALO","CW",17,0,35.88474,24.40074,0,15.23972,428.67313,0,0,0,0,16.46754,25.31389,0,26.84329,41.59339,504.19833,66.90728,571.10561,2.75671642628292,1.82547337474564,2.70260140287754
"26","CALO","CW",18,55.00946,0,7.42049,185.35921,0,187.5813,68.0882,0,0,9.546135,26.927175,0,7.49097,89.318195,40.52256,513.004795,40.52256,553.527355,2.7321685397271,1.49800649248756,2.69115022757413
"27","CP2","C",1,0,0,83.63922,0,24.178985,684.48727,0,14.58521,0,8.496855,23.29688,37.102095,10.95885,17.81433,28.779345,815.38754,65.88144,881.26898,2.94335473200344,1.77318901357039,2.9075419433474
"28","CP2","C",2,0,0,62.515765,0,21.39421,720.980405,0,12.586545,0,13.58812,66.21452,61.10425,32.66856,47.69637,3.516405,831.065045,64.620655,895.6857,2.95149785846193,1.80606200801285,2.9191263044046
"29","CP2","C",7,0,25.45615,0,17.161675,22.192145,1084.79129,0,53.744755,0,6.80873,22.942875,182.494475,19.26994,75.88229,19.98321,1210.154745,202.477685,1412.63243,3.01719036780544,1.86362530659473,2.9713941360248
"30","CP2","C",11,8.61807,0,18.48233,62.881475,14.034605,546.621905,18.892955,7.162075,0,0,14.79513,42.855985,3.9381,9.04719,4.8818,676.693415,47.737785,724.4312,2.77106810048084,1.607145813529,2.74013501968778
